CODIGO_IBGE;MUNICIPIO;REGIONAL;PREFEITO;DIRETOR_REGIONAL;ATENDENTE(RAMAL);OBSERVACAO;LINK_IBGE
3510005;Candido Mota;ER Marilia;Eraldo Jose Pereira;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/candido-mota/panorama
3510104;Candido Rodrigues;ER Araraquara;Tiago Alex Ravazzi;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/candido-rodrigues/panorama
3510153;Canitar;ER Marilia;Joel Rodrigues;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/canitar/panorama
3510203;Capao Bonito;ER Itapeva;Julio Fernando Galvão Dias;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/capao-bonito/panorama
3510302;Capela do Alto;ER Sorocaba;Henrique Daniel Leme;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/capela-do-alto/panorama
3510401;Capivari;ER Campinas;Vitor Hugo Riccomini;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/capivari/panorama
3510500;Caraguatatuba;ER Sao Jose dos Campos;Mateus Veneziani Da Silva;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/caraguatatuba/panorama
3510609;Carapicuiba;ER Sao Paulo;Jose Roberto Da Silva;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/carapicuiba/panorama
3510708;Cardoso;ER Sao Jose do Rio Preto;Luís Paulo Bednarski Pedrassolli;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/cardoso/panorama
3510807;Casa Branca;ER Campinas;Antônio Eduardo Marçon Nogueira;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/casa-branca/panorama
3510906;Cassia dos Coqueiros;ER Ribeirao Preto;Silvio Santos Dos Reis Faria;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cassia-dos-coqueiros/panorama
3511003;Castilho;ER Aracatuba;Paulo Duarte Boaventura;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/castilho/panorama
3511102;Catanduva;ER Sao Jose do Rio Preto;Osvaldo De Oliveira Rosa;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/catanduva/panorama
3511201;Catigua;ER Sao Jose do Rio Preto;Claudemir Jose Grava;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/catigua/panorama
3511300;Cedral;ER Sao Jose do Rio Preto;Irineo Beolchi Junior;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/cedral/panorama
3511409;Cerqueira Cesar;ER Sorocaba;Diego Augusto Berti Cinto;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/cerqueira-cesar/panorama
3511508;Cerquilho;ER Sorocaba;Paulo Roberto Pilon;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/cerquilho/panorama
3511607;Cesario Lange;ER Sorocaba;Ramiro De Campos;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/cesario-lange/panorama
3511706;Charqueada;ER Campinas;Rodrigo De Arruda;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/charqueada/panorama
3511904;Clementina;ER Aracatuba;Gilson Roberto Rodrigues Criolezio;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/clementina/panorama
3512001;Colina;ER Barretos;Valdemir Antonio Moralles;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/colina/panorama
