CODIGO_IBGE;MUNICIPIO;REGIONAL;mun_s_acento
3532827;Nova Campina;ER Itapeva;Nova Campina
3532843;Nova Canaï؟½ Paulista;ER Sao Jose do Rio Preto;Nova Canaa Paulista
3532868;Nova Castilho;ER Aracatuba;Nova Castilho
3532900;Nova Europa;ER Araraquara;Nova Europa
3533007;Nova Granada;ER Sao Jose do Rio Preto;Nova Granada
3533106;Nova Guataporanga;ER Presidente Prudente;Nova Guataporanga
3533205;Nova Independأھncia;ER Aracatuba;Nova Independencia
3533254;Novais;ER Sao Jose do Rio Preto;Novais
3533304;Nova Luzitأ¢nia;ER Aracatuba;Nova Luzitania
3533403;Nova Odessa;ER Campinas;Nova Odessa
3533502;Novo Horizonte;ER Sao Jose do Rio Preto;Novo Horizonte
3533601;Nuporanga;ER Franca;Nuporanga
3533700;Ocauï؟½u;ER Marilia;Ocauçu
3533809;ï؟½leo;ER Marilia;Oleo
3533908;Olï؟½mpia;ER Barretos;Olimpia
3534005;Onda Verde;ER Sao Jose do Rio Preto;Onda Verde
3534104;Oriente;ER Marilia;Oriente
3534203;Orindiï؟½va;ER Sao Jose do Rio Preto;Orindiuva
3534302;Orlï؟½ndia;ER Franca;Orlandia
3534401;Osasco;ER Sao Paulo;Osasco
3534500;Oscar Bressane;ER Marilia;Oscar Bressane
3534609;Osvaldo Cruz;ER Presidente Prudente;Osvaldo Cruz
3534708;Ourinhos;ER Marilia;Ourinhos
3534757;Ouroeste;ER Sao Jose do Rio Preto;Ouroeste
3534807;Ouro Verde;ER Presidente Prudente;Ouro Verde
3534906;Pacaembu;ER Presidente Prudente;Pacaembu
3535002;Palestina;ER Sao Jose do Rio Preto;Palestina
3535101;Palmares Paulista;ER Sao Jose do Rio Preto;Palmares Paulista
3535200;Palmeira D'Oeste;ER Sao Jose do Rio Preto;Palmeira D'Oeste
3535309;Palmital;ER Marilia;Palmital
3535408;Panorama;ER Presidente Prudente;Panorama
3535507;Paraguaï؟½u Paulista;ER Marilia;Paraguacu Paulista
3535606;Paraibuna;ER Sao Jose dos Campos;Paraibuna
3535705;Paraï؟½so;ER Sao Jose do Rio Preto;Paraiso
3535804;Paranapanema;ER Itapeva;Paranapanema
3535903;Paranapuï؟½;ER Sao Jose do Rio Preto;Paranapua
3536000;Parapuï؟½;ER Marilia;Parapua
3536109;Pardinho;ER Sorocaba;Pardinho
3536208;Pariquera Aï؟½u;ER Vale do Ribeira;Pariquera Acu
3536257;Parisi;ER Sao Jose do Rio Preto;Parisi
3536307;Patrocï؟½nio Paulista;ER Franca;Patrocinio Paulista
3536406;Paulicï؟½ia;ER Presidente Prudente;Pauliceia
3536505;Paulï؟½nia;ER Campinas;Paulinea
3536570;Paulistï؟½nia;ER Bauru;Paulistania
3536604;Paulo de Faria;ER Sao Jose do Rio Preto;Paulo de Faria
3536703;Pederneiras;ER Bauru;Pederneiras
3536802;Pedra Bela;ER Campinas;Pedra Bela
3536901;Pedranï؟½polis;ER Sao Jose do Rio Preto;Pedranopolis
3537008;Pedregulho;ER Franca;Pedregulho
3537107;Pedreira;ER Campinas;Pedreira
3537156;Pedrinhas Paulista;ER Marilia;Pedrinhas Paulista
3537206;Pedro de Toledo;ER Vale do Ribeira;Pedro de Toledo
3537305;Penأ،polis;ER Aracatuba;Penapolis
3537404;Pereira Barreto;ER Aracatuba;Pereira Barreto
3537503;Pereiras;ER Sorocaba;Pereiras
3537602;Peruï؟½be;ER Baixada Santista;Peruibe
3537701;Piacatu;ER Aracatuba;Piacatu
3537800;Piedade;ER Sorocaba;Piedade
3537909;Pilar do Sul;ER Sorocaba;Pilar do Sul
3538006;Pindamonhangaba;ER Sao Jose dos Campos;Pindamonhangaba
3538105;Pindorama;ER Sao Jose do Rio Preto;Pindorama
3538204;Pinhalzinho;ER Campinas;Pinhalzinho
3538303;Piquerobi;ER Presidente Prudente;Piquerobi
3538501;Piquete;ER Sao Jose dos Campos;Piquete
3538600;Piracaia;ER Campinas;Piracaia
3538709;Piracicaba;ER Campinas;Piracicaba
3538808;Piraju;ER Itapeva;Piraju
3538907;Pirajuï؟½;ER Bauru;Pirajui
3539004;Pirangi;ER Barretos;Pirangi
3539103;Pirapora do Bom Jesus;ER Sao Paulo;Pirapora do Bom Jesus
3539202;Pirapozinho;ER Presidente Prudente;Pirapozinho
3539301;Pirassununga;ER Campinas;Pirassununga
3539400;Piratininga;ER Bauru;Piratininga
3539509;Pitangueiras;ER Ribeirao Preto;Pitangueiras
3539608;Planalto;ER Sao Jose do Rio Preto;Planalto
3539707;Platina;ER Marilia;Platina
3539806;Poï؟½;ER Sao Paulo;Poa
3539905;Poloni;ER Sao Jose do Rio Preto;Poloni
3540002;Pompï؟½ia;ER Marilia;Pompeia
3540101;Pongaï؟½;ER Bauru;Pongai
3540200;Pontal;ER Ribeirao Preto;Pontal
3540259;Pontalinda;ER Sao Jose do Rio Preto;Pontalinda
3540309;Pontes Gestal;ER Sao Jose do Rio Preto;Pontes Gestal
3540408;Populina;ER Sao Jose do Rio Preto;Populina
3540507;Porangaba;ER Sorocaba;Porangaba
3540606;Porto Feliz;ER Sorocaba;Porto Feliz
3540705;Porto Ferreira;ER Araraquara;Porto Ferreira
3540754;Potim;ER Sao Jose dos Campos;Potim
3540804;Potirendaba;ER Sao Jose do Rio Preto;Potirendaba
3540853;Pracinha;ER Presidente Prudente;Pracinha
3540903;Pradï؟½polis;ER Ribeirao Preto;Pradopolis
3541000;Praia Grande;ER Baixada Santista;Praia Grande
3541059;Pratï؟½nia;ER Sorocaba;Pratania
3541109;Presidente Alves;ER Bauru;Presidente Alves
3541208;Presidente Bernardes;ER Presidente Prudente;Presidente Bernardes
3541307;Presidente Epitï؟½cio;ER Presidente Prudente;Presidente Epitacio
3541406;Presidente Prudente;ER Presidente Prudente;Presidente Prudente
3541505;Presidente Venceslau;ER Presidente Prudente;Presidente Venceslau
3541604;Promissï؟½o;ER Bauru;Promissao
3541653;Quadra;ER Sorocaba;Quadra
3541703;Quatï؟½;ER Marilia;Quata
3541802;Queiroz;ER Marilia;Queiroz
3541901;Queluz;ER Sao Jose dos Campos;Queluz
3542008;Quintana;ER Marilia;Quintana
3542107;Rafard;ER Campinas;Rafard
3542206;Rancharia;ER Presidente Prudente;Rancharia
